id	gene	deltaPSI	deltaPSIc	z	p	q
chr16_30014757_30014847_+	INO80E	0.02	0.035	0.4	0.46	0
chr16_30014971_30014991_+	INO80E	0.05	0.065	0.59	0.56	0
chr16_30015889_30015978_+	INO80E	-0.04	-0.025	0.03	0.31	0
chr19_36230611_36230670_-	IGFLR1	-0.1	-0.095	-0.41	0.47	0
chr19_36230611_36230987_-	IGFLR1	-0.09	-0.085	-0.35	0.44	0
chr21_33954510_33954725_-	TCP10L	0.13	0.145	1.09	0.86	0
chr5_147051241_147051517_-	JAKMIP2	-0.12	-0.115	-0.54	0.53	0
chr10_27293045_27294652_-	ANKRD26	-0.13	-0.115	-0.54	0.53	0
chr10_27293227_27294652_-	ANKRD26	-0.13	-0.115	-0.54	0.53	0
chr10_27294478_27294652_-	ANKRD26	-0.13	-0.115	-0.54	0.53	0
chr10_27294552_27294652_-	ANKRD26	-0.13	-0.115	-0.54	0.53	0
chr14_35592158_35593437_+	KIAA0391	-0.15	-0.145	-0.73	0.63	0
chr21_34634866_34635061_+	IFNAR2	0.1	0.115	0.91	0.74	0
chr21_34634866_34635062_+	IFNAR2	0.1	0.115	0.91	0.74	0
chr10_27368961_27369107_-	ANKRD26	0.17	0.185	1.35	1.05	0
chr12_76853639_76853675_-	OSBPL8	-0.04	-0.035	-0.04	0.32	0
chr12_77191214_77191317_+	ZDHHC17	-0.05	-0.035	-0.04	0.32	0
chr12_77214838_77214867_+	ZDHHC17	0.12	0.135	1.03	0.82	0
chr21_34640699_34640822_+	IL10RB	0.03	0.045	0.47	0.5	0
chr19_36243789_36243900_+	LIN37	-0.15	-0.135	-0.67	0.6	0
chr7_102006402_102006523_+	PRKRIP1	-0.08	-0.055	-0.16	0.36	0
chr12_77436845_77436979_-	E2F7	-0.07	-0.045	-0.1	0.34	0
chr16_30208758_30208882_+	SLX1A	-0.37	-0.355	-2.05	1.7	0.12
chr19_36501796_36501967_-	ALKBH6	-0.15	-0.145	-0.73	0.63	0
chr16_30213359_30213451_+	SULT1A3	0.03	0.065	0.59	0.56	0
chr14_36169368_36169508_-	RALGAPA1	0.04	0.045	0.47	0.5	0
chr16_30428876_30429915_+	ZNF771	-0.3	-0.285	-1.61	1.27	0
chr12_80199946_80200113_-	PPP1R12A	-0.16	-0.155	-0.79	0.67	0
chr11_31823419_31823460_-	PAX6	-0.02	-0.015	0.09	0.33	0
chr7_102107786_102107926_+	LRWD1	-0.09	-0.075	-0.29	0.41	0
chr12_81593439_81593490_+	ACSS3	0.07	0.085	0.72	0.63	0
chr16_30537647_30537910_-	ZNF768	-0.19	-0.185	-0.98	0.79	0
chr10_28247767_28247901_-	ARMC4	0.17	0.175	1.28	1	0
chr10_28250497_28250644_-	ARMC4	0.05	0.055	0.53	0.53	0
chr6_117861831_117861978_+	DCBLD1	-0.07	-0.055	-0.16	0.36	0
chr2_113343551_113343691_+	CHCHD5	-0.11	-0.105	-0.48	0.5	0
chr10_28270395_28270511_-	ARMC4	0.05	0.055	0.53	0.53	0
chr14_37283123_37283206_-	SLC25A21	0.08	0.085	0.72	0.63	0
chr6_117923167_117923681_-	GOPC	-0.07	-0.065	-0.23	0.39	0
chr2_113410466_113410932_+	SLC20A1	0.09	0.115	0.91	0.74	0
chr14_37696931_37697043_+	MIPOL1	0.02	0.035	0.4	0.46	0
chr17_35567381_35567404_-	ACACA	0.11	0.125	0.97	0.78	0
chr6_118812849_118813028_-	CEP85L	-0.03	-0.025	0.03	0.31	0
chr6_119147310_119147455_-	MCM9	-0.08	-0.065	-0.23	0.39	0
chr6_119177534_119177708_-	MCM9	-0.22	-0.205	-1.11	0.87	0
chr12_8850496_8850893_+	RIMKLB	0.09	0.115	0.91	0.74	0
chr5_43174549_43175390_+	ZNF131	-0.06	-0.045	-0.1	0.34	0
chr8_103250787_103251003_-	RRM2B	0.07	0.075	0.65	0.59	0
chr19_44716728_44716738_+	ZNF227	-1	-1.005	-6.14	9.38	6.1
chr19_36980315_36980337_-	ZNF566	0.05	0.065	0.59	0.56	0
chr12_8852381_8853210_+	RIMKLB	0.02	0.045	0.47	0.5	0
chr12_8852442_8853210_+	RIMKLB	0.02	0.045	0.47	0.5	0
chr16_3115611_3115711_+	IL32	-0.01	-0.005	0.15	0.36	0
chr5_43556921_43557195_-	PAIP1	0.02	0.025	0.34	0.44	0
chr2_96561147_96561219_-	ANKRD36C	0.04	0.055	0.53	0.53	0
chr10_30726105_30726335_+	MAP3K8	0.22	0.225	1.6	1.26	0
chr10_3111466_3111581_+	PFKP	0.01	0.015	0.28	0.41	0
chr12_89813495_89815034_-	POC1B	-0.19	-0.185	-0.98	0.79	0
chr12_89813500_89815034_-	POC1B	-0.19	-0.185	-0.98	0.79	0
chr12_89814673_89815034_-	POC1B	-0.19	-0.185	-0.98	0.79	0
chr12_89814931_89815034_-	POC1B	-0.19	-0.185	-0.98	0.79	0
chr19_37134724_37134764_-	ZNF461	-0.01	0.005	0.21	0.38	0
chr2_44942426_44942492_+	CAMKMT	-0.09	-0.075	-0.29	0.41	0
chr16_3115678_3115711_+	IL32	0.02	0.025	0.34	0.44	0
chr10_32098158_32098235_-	ARHGAP12	0.05	0.055	0.53	0.53	0
chr21_35107611_35107931_+	ITSN1	-0.02	-0.015	0.09	0.33	0
chr10_32128565_32128639_-	ARHGAP12	0.06	0.065	0.59	0.56	0
chr10_32142994_32143134_-	ARHGAP12	-0.12	-0.115	-0.54	0.53	0
chr12_89885852_89885892_-	POC1B	-0.14	-0.125	-0.6	0.56	0
chr12_89890816_89891119_-	POC1B	-0.04	-0.025	0.03	0.31	0
chr12_89890948_89891034_-	POC1B	0.04	0.055	0.53	0.53	0
chr12_89890948_89891119_-	POC1B	-0.04	-0.025	0.03	0.31	0
chr10_32562091_32562209_-	EPC1	-0.09	-0.065	-0.23	0.39	0
chr10_32635691_32636113_-	EPC1	-0.04	-0.015	0.09	0.33	0
chr10_32635691_32636146_-	EPC1	-0.04	-0.015	0.09	0.33	0
chr11_3398847_3399130_-	ZNF195	0.01	0.025	0.34	0.44	0
chr16_31724598_31724756_+	ZNF720	-0.37	-0.355	-2.05	1.7	0.12
chr19_37407351_37407493_+	ZNF568	-0.37	-0.345	-1.99	1.63	0.08
chr2_47137919_47138012_-	MCFD2	0.05	0.055	0.53	0.53	0
chr9_13165366_13165407_-	MPDZ	0.04	0.055	0.53	0.53	0
chr5_156723679_156723782_+	CYFIP2	0.11	0.115	0.91	0.74	0
chr16_31770678_31771162_+	ZNF720	0.12	0.135	1.03	0.82	0
chr12_94806094_94806205_-	CCDC41	-0.08	-0.065	-0.23	0.39	0
chr12_94829051_94829103_-	CCDC41	0.07	0.085	0.72	0.63	0
chr12_95365108_95365261_-	NDUFA12	-0.36	-0.355	-2.05	1.7	0.12
chr19_37465322_37465368_+	ZNF568	-0.31	-0.285	-1.61	1.27	0
chr9_131848418_131848546_+	DOLPP1	-0.09	-0.065	-0.23	0.39	0
chr19_37469906_37471219_+	ZNF568	0.06	0.085	0.72	0.63	0
chr19_37482078_37482201_+	ZNF568	-0.34	-0.315	-1.8	1.44	0
chr19_37482653_37482748_+	ZNF568	-0.24	-0.215	-1.17	0.92	0
chr16_3363049_3363175_+	ZNF75A	-0.11	-0.085	-0.35	0.44	0
chr16_341190_341297_-	AXIN1	-0.13	-0.115	-0.54	0.53	0
chr19_37569320_37569472_+	ZNF420	-0.52	-0.505	-2.99	2.86	0.86
chr12_95434252_95434374_-	NR2C1	-0.16	-0.145	-0.73	0.63	0
chr19_37569382_37569472_+	ZNF420	-0.52	-0.505	-2.99	2.86	0.86
chr16_3443649_3443814_-	ZSCAN32	0.01	0.025	0.34	0.44	0
chr19_37579941_37580029_+	ZNF420	-0.25	-0.235	-1.29	1.01	0
chr5_159507658_159507777_-	PWWP2A	0.2	0.215	1.53	1.2	0
chr16_3507985_3508181_+	NAA60	-0.08	-0.055	-0.16	0.36	0
chr16_3507992_3508181_+	NAA60	-0.08	-0.055	-0.16	0.36	0
chr16_3507993_3508181_+	NAA60	-0.08	-0.055	-0.16	0.36	0
chr16_3508012_3508181_+	NAA60	-0.08	-0.055	-0.16	0.36	0
chr16_3508071_3508181_+	NAA60	-0.08	-0.055	-0.16	0.36	0
chr12_95652021_95652063_+	VEZT	0.03	0.045	0.47	0.5	0
chr16_3508078_3508181_+	NAA60	-0.08	-0.055	-0.16	0.36	0
chr16_3508130_3508181_+	NAA60	-0.08	-0.055	-0.16	0.36	0
chr16_3526176_3526337_+	NAA60	-0.06	-0.045	-0.1	0.34	0
chr12_95663815_95663963_+	VEZT	-0.44	-0.425	-2.49	2.19	0.42
chr21_38318309_38318454_-	HLCS	-0.15	-0.145	-0.73	0.63	0
chr8_118843838_118843892_-	EXT1	0.04	0.055	0.53	0.53	0
chr15_65558900_65559106_-	PARP16	0.19	0.205	1.47	1.15	0
chr2_135700182_135700244_+	CCNT2	-0.07	-0.055	-0.16	0.36	0
chr17_39973310_39973455_+	FKBP10	-0.25	-0.235	-1.29	1.01	0
chr19_37672481_37678146_-	ZNF585B	-0.03	-0.015	0.09	0.33	0
chr19_37675722_37678146_-	ZNF585B	-0.03	-0.015	0.09	0.33	0
chr12_95681440_95681640_+	VEZT	-0.09	-0.075	-0.29	0.41	0
chr8_12040630_12041215_-	FAM86B1	0.12	0.135	1.03	0.82	0
chr21_38460496_38460646_+	TTC3	0.22	0.225	1.6	1.26	0
chr21_38461099_38461186_+	TTC3	0.25	0.255	1.79	1.44	0
chr19_37680563_37680655_-	ZNF585B	-0.02	-0.005	0.15	0.36	0
chr21_38463593_38463713_+	TTC3	0.27	0.275	1.91	1.55	0.04
chr6_133703530_133703579_+	EYA4	0.21	0.225	1.6	1.26	0
chr7_104704475_104704563_+	KMT2E	0.07	0.075	0.65	0.59	0
chr5_170410069_170410249_+	RANBP17	0.13	0.155	1.16	0.91	0
chr4_140005287_140005479_-	ELF2	0.02	0.035	0.4	0.46	0
chr5_170585338_170585498_+	RANBP17	0.1	0.125	0.97	0.78	0
chr5_170588411_170588470_+	RANBP17	0.12	0.145	1.09	0.86	0
chr10_38301270_38301278_+	ZNF33A	0.1	0.115	0.91	0.74	0
chr10_38343303_38343439_+	ZNF33A	-0.11	-0.095	-0.41	0.47	0
chr12_977032_978270_+	WNK1	-0.01	0.005	0.21	0.38	0
chr12_980431_980514_+	WNK1	0.15	0.165	1.22	0.95	0
chr10_38403683_38403809_+	ZNF37A	-0.12	-0.105	-0.48	0.5	0
chr10_38404123_38404218_+	ZNF37A	-0.13	-0.115	-0.54	0.53	0
chr16_4401233_4401316_-	PAM16	-0.08	-0.065	-0.23	0.39	0
chr4_140221756_140222364_-	NDUFC1	-0.16	-0.145	-0.73	0.63	0
chr14_51193954_51194469_-	NIN	0.12	0.115	0.91	0.74	0
chr21_38612797_38612940_-	DSCR3	0.05	0.065	0.59	0.56	0
chr3_160102194_160102434_-	IFT80	-0.11	-0.095	-0.41	0.47	0
chr10_43650345_43651258_+	CSGALNACT2	-0.05	-0.035	-0.04	0.32	0
chr10_43654163_43654379_+	CSGALNACT2	-0.05	-0.035	-0.04	0.32	0
chrX_69518963_69519052_+	KIF4A	-0.19	-0.185	-0.98	0.79	0
chr10_43657648_43657669_+	CSGALNACT2	0.06	0.075	0.65	0.59	0
chr6_135518099_135518461_+	MYB	-0.05	-0.045	-0.1	0.34	0
chr16_4408368_4408484_-	CORO7-PAM16	-0.11	-0.095	-0.41	0.47	0
chr10_43904175_43904330_-	HNRNPF	0.05	0.055	0.53	0.53	0
chr16_447199_447313_+	NME4	-0.02	-0.015	0.09	0.33	0
chr16_447200_447313_+	NME4	-0.02	-0.015	0.09	0.33	0
chr16_447209_447313_+	NME4	-0.02	-0.015	0.09	0.33	0
chr16_447237_447313_+	NME4	-0.02	-0.015	0.09	0.33	0
chr7_106814893_106815190_+	HBP1	0.05	0.065	0.59	0.56	0
chrX_70354207_70354316_+	MED12	-0.08	-0.075	-0.29	0.41	0
chr4_141294803_141294871_+	SCOC	0.02	0.025	0.34	0.44	0
chr10_46120031_46120085_-	ZFAND4	-0.19	-0.175	-0.92	0.75	0
chr10_46121399_46122553_-	ZFAND4	-0.22	-0.205	-1.11	0.87	0
chr11_47195013_47195033_-	ARFGAP2	-0.46	-0.435	-2.55	2.27	0.48
chr11_47195310_47195391_-	ARFGAP2	-0.51	-0.485	-2.87	2.69	0.76
chr17_40379547_40379703_-	STAT5B	-0.05	-0.035	-0.04	0.32	0
chr10_46148432_46148507_-	ZFAND4	0.2	0.215	1.53	1.2	0
chr21_42629085_42629253_+	BACE2	-0.1	-0.075	-0.29	0.41	0
chr2_152279464_152279556_+	RIF1	0.14	0.155	1.16	0.91	0
chr19_37853011_37853048_+	HKR1	-0.05	-0.025	0.03	0.31	0
chr19_37853011_37853176_+	HKR1	-0.05	-0.025	0.03	0.31	0
chr16_46723043_46723063_-	VPS35	0.22	0.225	1.6	1.26	0
chr19_37853011_37855348_+	HKR1	-0.05	-0.025	0.03	0.31	0
chr16_46723043_46723106_-	VPS35	0.22	0.225	1.6	1.26	0
chr19_37853011_37855353_+	HKR1	-0.05	-0.025	0.03	0.31	0
chr4_146018840_146018912_-	ANAPC10	-0.02	-0.015	0.09	0.33	0
chr13_103436631_103436862_-	KDELC1	-0.13	-0.115	-0.54	0.53	0
chr19_37871179_37871274_+	ZNF527	0.15	0.165	1.22	0.95	0
chr16_4727464_4727573_+	MGRN1	-0.17	-0.155	-0.79	0.67	0
chr10_47166221_47166311_-	ANXA8L1	0.02	0.055	0.53	0.53	0
chr16_4736260_4736304_+	MGRN1	-0.02	-0.005	0.15	0.36	0
chr14_53197177_53197249_+	STYX	0.19	0.195	1.41	1.1	0
chr4_56269403_56269505_+	TMEM165	0.15	0.165	1.22	0.95	0
chr13_107148096_107148188_-	EFNB2	-0.1	-0.095	-0.41	0.47	0
chr21_44473865_44474093_-	CBS	0.09	0.095	0.78	0.66	0
chr16_47653041_47653340_+	PHKB	0.03	0.035	0.4	0.46	0
chr3_169513273_169513399_-	LRRC34	-0.2	-0.195	-1.04	0.83	0
chr19_37961206_37961241_+	ZNF570	0.04	0.055	0.53	0.53	0
chr11_473895_473977_+	PTDSS2	-0.61	-0.585	-3.5	3.63	1.43
chr12_124210744_124210832_+	ATP6V0A2	-0.18	-0.165	-0.85	0.7	0
chr19_38011086_38011214_+	ZNF793	-0.17	-0.155	-0.79	0.67	0
chr8_131104219_131104389_-	ASAP1	0.04	0.045	0.47	0.5	0
chr5_176450161_176450235_+	ZNF346	0.01	0.025	0.34	0.44	0
chr8_133008653_133008744_+	EFR3A	-0.3	-0.295	-1.67	1.32	0
chr21_45475579_45475774_+	TRAPPC10	-0.1	-0.085	-0.35	0.44	0
chr16_4776660_4776781_-	ANKS3	0.16	0.185	1.35	1.05	0
chr2_61764697_61765366_-	XPO1	-0.06	-0.055	-0.16	0.36	0
chr21_45504003_45504144_+	TRAPPC10	-0.19	-0.175	-0.92	0.75	0
chr13_111340079_111340173_-	CARS2	-0.33	-0.315	-1.8	1.44	0
chr3_171064723_171065007_-	TNIK	-0.07	-0.065	-0.23	0.39	0
chr13_111358217_111358400_-	CARS2	-0.04	-0.025	0.03	0.31	0
chr13_111358217_111358480_-	CARS2	-0.04	-0.025	0.03	0.31	0
chr13_111358217_111358504_-	CARS2	-0.04	-0.025	0.03	0.31	0
chr16_48580058_48580165_-	N4BP1	0.01	0.015	0.28	0.41	0
chr16_48581918_48582025_-	N4BP1	-0.04	-0.035	-0.04	0.32	0
chr16_48585297_48585393_-	N4BP1	-0.44	-0.425	-2.49	2.19	0.42
chr19_38262204_38262336_-	ZNF573	-0.15	-0.135	-0.67	0.6	0
chr10_49632557_49632628_+	MAPK8	-0.02	-0.015	0.09	0.33	0
chr9_14116180_14116345_-	NFIB	0.29	0.295	2.04	1.68	0.12
chr6_13791020_13791096_-	MCUR1	0.17	0.185	1.35	1.05	0
chr19_38706993_38707043_-	DPF1	-0.11	-0.095	-0.41	0.47	0
chr5_176910399_176910731_-	PDLIM7	-0.2	-0.185	-0.98	0.79	0
chr3_17415963_17416032_-	TBC1D5	-0.06	-0.055	-0.16	0.36	0
chr7_114055052_114055415_+	FOXP2	0.03	0.035	0.4	0.46	0
chr5_176917247_176917594_-	PDLIM7	-0.02	-0.005	0.15	0.36	0
chr4_156680939_156681012_+	GUCY1B3	-0.07	-0.065	-0.23	0.39	0
chr14_56046925_56047072_+	KTN1	0.12	0.135	1.03	0.82	0
chr19_38895984_38896061_+	FAM98C	-0.04	-0.025	0.03	0.31	0
chr19_38896159_38896275_+	FAM98C	-0.03	-0.015	0.09	0.33	0
chr14_56047040_56047072_+	KTN1	0.12	0.135	1.03	0.82	0
chr7_114269647_114269697_+	FOXP2	-0.12	-0.115	-0.54	0.53	0
chr12_132423718_132423820_+	PUS1	-0.03	-0.015	0.09	0.33	0
chr10_51224688_51226465_-	AGAP8	-0.15	-0.115	-0.54	0.53	0
chr16_53656131_53656268_-	RPGRIP1L	0.09	0.105	0.84	0.7	0
chr12_132635386_132635586_+	NOC4L	-0.16	-0.145	-0.73	0.63	0
chr2_65305002_65305098_+	CEP68	-0.1	-0.085	-0.35	0.44	0
chr2_162016917_162016995_+	TANK	-0.07	-0.055	-0.16	0.36	0
chr2_162016939_162016997_+	TANK	-0.09	-0.085	-0.35	0.44	0
chr21_48083295_48083466_+	PRMT2	0.11	0.125	0.97	0.78	0
chr18_21111910_21112248_-	NPC1	-0.12	-0.095	-0.41	0.47	0
chr22_17623988_17624021_-	CECR5	-0.15	-0.135	-0.67	0.6	0
chr13_113863858_113864089_+	CUL4A	0.07	0.075	0.65	0.59	0
chr5_177658670_177658867_-	PHYKPL	0.02	0.045	0.47	0.5	0
chr2_163134715_163134838_-	IFIH1	-0.14	-0.125	-0.6	0.56	0
chr13_113960800_113960921_+	LAMP1	0.01	0.015	0.28	0.41	0
chr2_165404170_165404326_-	GRB14	-0.06	-0.045	-0.1	0.34	0
chr7_116595028_116595207_+	ST7-OT4	0.06	0.075	0.65	0.59	0
chr13_114117166_114117206_-	DCUN1D2	0.38	0.405	2.73	2.5	0.64
chr7_116660272_116660683_+	ST7	-0.03	-0.015	0.09	0.33	0
chr16_56496446_56496540_+	OGFOD1	-0.08	-0.065	-0.23	0.39	0
chr5_178986693_178986836_+	RUFY1	-0.11	-0.095	-0.41	0.47	0
chr22_18222848_18222942_-	BID	0.1	0.105	0.84	0.7	0
chr19_39409406_39409453_-	SARS2	-0.03	-0.015	0.09	0.33	0
chr2_166805904_166806014_-	TTC21B	0.05	0.055	0.53	0.53	0
chr2_168921829_168921891_-	STK39	0.01	0.015	0.28	0.41	0
chr22_18566203_18566498_+	PEX26	-0.25	-0.245	-1.36	1.06	0
chr12_133447310_133447369_-	CHFR	-0.15	-0.135	-0.67	0.6	0
chr22_18570738_18570885_+	PEX26	-0.14	-0.125	-0.6	0.56	0
chr17_41323231_41323319_+	NBR1	0.12	0.135	1.03	0.82	0
chr17_41323246_41323319_+	NBR1	0.12	0.135	1.03	0.82	0
chr15_71228867_71229161_+	LRRC49	-0.19	-0.165	-0.85	0.7	0
chr3_180322640_180322700_+	TTC14	-0.16	-0.135	-0.67	0.6	0
chr2_170460550_170460612_+	PPIG	-0.04	-0.035	-0.04	0.32	0
chr19_39658867_39658942_+	PAK4	0.11	0.115	0.91	0.74	0
chr16_57171061_57171194_+	CPNE2	-0.23	-0.225	-1.23	0.96	0
chr19_39658870_39658952_+	PAK4	0.13	0.135	1.03	0.82	0
chr22_19175070_19175240_-	CLTCL1	-0.25	-0.235	-1.29	1.01	0
chr13_73632930_73633726_+	KLF5	0.12	0.125	0.97	0.78	0
chr13_74387289_74387424_-	KLF12	-0.1	-0.095	-0.41	0.47	0
chr8_62438536_62438671_-	ASPH	-0.18	-0.165	-0.85	0.7	0
chr15_99781570_99781764_-	TTC23	-0.01	0.005	0.21	0.38	0
chr2_70098877_70098964_+	GMCL1	-0.05	-0.035	-0.04	0.32	0
chr9_21994138_21994410_-	CDKN2A	0.07	0.075	0.65	0.59	0
chr6_149663949_149663969_+	TAB2	0.14	0.155	1.16	0.91	0
chr17_42148996_42149189_+	G6PC3	0.17	0.175	1.28	1	0
chr10_51859738_51859824_+	FAM21A	-0.03	-0.015	0.09	0.33	0
chr17_42153048_42153672_+	G6PC3	-0.08	-0.065	-0.23	0.39	0
chr14_59010601_59010685_+	KIAA0586	0.07	0.075	0.65	0.59	0
chr14_59827520_59827580_+	DAAM1	-0.15	-0.145	-0.73	0.63	0
chr16_57786690_57786840_+	KATNB1	-0.21	-0.205	-1.11	0.87	0
chr8_145153984_145154108_-	SHARPIN	0.12	0.135	1.03	0.82	0
chr15_101169642_101170414_+	ASB7	0.1	0.105	0.84	0.7	0
chr10_52504888_52505034_+	ASAH2B	0.03	0.035	0.4	0.46	0
chr13_20067588_20067641_-	TPTE2	0.03	0.045	0.47	0.5	0
chr16_58286631_58286757_+	CCDC113	0.05	0.065	0.59	0.56	0
chr8_145624348_145624428_-	CPSF1	-0.06	-0.045	-0.1	0.34	0
chr22_20050861_20050965_+	TANGO2	0.2	0.215	1.53	1.2	0
chr2_171699079_171699266_+	GAD1	0.03	0.035	0.4	0.46	0
chr16_58550517_58550576_+	SETD6	-0.01	0.005	0.21	0.38	0
chr2_171705193_171705304_+	GAD1	0.04	0.055	0.53	0.53	0
chr3_182817140_182817283_-	MCCC1	0.12	0.135	1.03	0.82	0
chr3_182817140_182817306_-	MCCC1	0.12	0.135	1.03	0.82	0
chr3_182817140_182817311_-	MCCC1	0.12	0.135	1.03	0.82	0
chr13_20411605_20411961_-	ZMYM5	-0.25	-0.235	-1.29	1.01	0
chr22_20905723_20905774_+	MED15	-0.18	-0.165	-0.85	0.7	0
chr13_20412840_20413125_-	ZMYM5	-0.21	-0.195	-1.04	0.83	0
chr12_16500628_16500644_+	MGST1	-0.33	-0.325	-1.86	1.5	0.03
chr4_17964593_17964672_-	LCORL	-0.16	-0.155	-0.79	0.67	0
chr10_5966714_5966764_+	FBXO18	-0.05	-0.045	-0.1	0.34	0
chr16_632248_632309_+	PIGQ	-0.36	-0.335	-1.92	1.56	0.04
chr16_66541906_66545969_-	TK2	-0.07	-0.055	-0.16	0.36	0
chr16_66543282_66545969_-	TK2	-0.07	-0.055	-0.16	0.36	0
chr8_67743489_67743546_+	SGK3	-0.06	-0.055	-0.16	0.36	0
chr11_17169064_17169175_-	PIK3C2A	-0.18	-0.165	-0.85	0.7	0
chr15_73067213_73067438_-	ADPGK	-0.08	-0.065	-0.23	0.39	0
chr22_21066796_21066899_-	PI4KA	-0.1	-0.085	-0.35	0.44	0
chr13_20593687_20593758_+	ZMYM2	-0.05	-0.035	-0.04	0.32	0
chr13_20593687_20594103_+	ZMYM2	-0.07	-0.055	-0.16	0.36	0
chr16_66545698_66545969_-	TK2	-0.07	-0.055	-0.16	0.36	0
chr13_20601343_20601458_+	ZMYM2	-0.06	-0.055	-0.16	0.36	0
chr2_172303896_172304013_+	DCAF17	0.04	0.055	0.53	0.53	0
chr14_64108017_64108125_-	WDR89	-0.04	-0.035	-0.04	0.32	0
chr16_66596975_66597120_+	CKLF-CMTM1	0.2	0.205	1.47	1.15	0
chr18_32409005_32409292_+	DTNA	0.11	0.115	0.91	0.74	0
chr18_32467730_32467802_+	DTNA	0.18	0.185	1.35	1.05	0
chr15_74324913_74325056_+	PML	-0.18	-0.165	-0.85	0.7	0
chr9_33347661_33348721_+	NFX1	0.07	0.085	0.72	0.63	0
chr18_32467730_32468084_+	DTNA	0.18	0.185	1.35	1.05	0
chr7_128455668_128455985_+	CCDC136	0.09	0.105	0.84	0.7	0
chr17_43100708_43102092_-	DCAKD	-0.03	-0.015	0.09	0.33	0
chr13_21013732_21013893_-	CRYL1	-0.08	-0.075	-0.29	0.41	0
chr7_128849130_128849238_+	SMO	-0.08	-0.055	-0.16	0.36	0
chr22_24672668_24672771_+	SPECC1L	0.06	0.065	0.59	0.56	0
chr22_24938366_24939065_-	GUCD1	0.08	0.095	0.78	0.66	0
chr13_21217594_21217744_+	IFT88	-0.06	-0.045	-0.1	0.34	0
chr22_24938902_24939065_-	GUCD1	0.08	0.095	0.78	0.66	0
chr13_21237402_21237525_+	IFT88	0.09	0.105	0.84	0.7	0
chr19_4179101_4179283_-	SIRT6	-0.09	-0.075	-0.29	0.41	0
chr14_65392728_65392798_+	FNTB	-0.43	-0.415	-2.43	2.12	0.39
chr4_186241887_186242018_+	SNX25	-0.1	-0.085	-0.35	0.44	0
chr12_22625678_22625741_-	C2CD5	-0.06	-0.045	-0.1	0.34	0
chr16_66857184_66857209_-	NAE1	-0.05	-0.035	-0.04	0.32	0
chr13_21362625_21362755_-	XPO4	-0.35	-0.325	-1.86	1.5	0.03
chr19_41938759_41939339_-	ATP5SL	0.02	0.035	0.4	0.46	0
chr19_41939129_41939339_-	ATP5SL	0.02	0.035	0.4	0.46	0
chr8_1791519_1791602_+	ARHGEF10	-0.18	-0.175	-0.92	0.75	0
chr11_62639049_62639141_+	SLC3A2	-0.07	-0.055	-0.16	0.36	0
chr14_65519956_65520067_+	FNTB	-0.21	-0.195	-1.04	0.83	0
chr8_74495005_74495065_-	STAU2	-0.05	-0.045	-0.1	0.34	0
chr8_18069731_18070283_+	NAT1	0.04	0.045	0.47	0.5	0
chr8_18069900_18070283_+	NAT1	-0.03	-0.025	0.03	0.31	0
chr11_63486174_63488504_+	RTN3	0.04	0.055	0.53	0.53	0
chr3_18465119_18466065_-	SATB1	-0.02	-0.005	0.15	0.36	0
chr6_158551405_158551518_-	SERAC1	-0.14	-0.125	-0.6	0.56	0
chr9_34263099_34263170_-	KIF24	-0.08	-0.065	-0.23	0.39	0
chr8_19231041_19231171_+	SH2D4A	-0.2	-0.185	-0.98	0.79	0
chr19_4318869_4318948_+	FSD1	-0.07	-0.055	-0.16	0.36	0
chr10_96259978_96260084_+	TBC1D12	-0.04	-0.025	0.03	0.31	0
chr10_96269848_96269936_+	TBC1D12	-0.09	-0.075	-0.29	0.41	0
chr8_19699338_19699466_+	INTS10	0.04	0.045	0.47	0.5	0
chr10_70190193_70190364_-	DNA2	-0.07	-0.055	-0.16	0.36	0
chr3_185390329_185390457_-	IGF2BP2	0.11	0.115	0.91	0.74	0
chr19_44030353_44030501_-	ETHE1	-0.31	-0.285	-1.61	1.27	0
chr9_34648995_34649078_+	GALT	-0.03	-0.005	0.15	0.36	0
chr9_35074368_35074491_-	FANCG	-0.04	-0.025	0.03	0.31	0
chr19_44100747_44100895_+	ZNF576	-0.12	-0.115	-0.54	0.53	0
chr16_67693806_67693948_-	ACD	-0.11	-0.105	-0.48	0.5	0
chr15_30434517_30434585_+	GOLGA8T	-0.1	-0.075	-0.29	0.41	0
chr19_44100769_44100895_+	SRRM5	-0.12	-0.115	-0.54	0.53	0
chr2_175263094_175263170_+	SCRN3	-0.08	-0.065	-0.23	0.39	0
chr8_74737382_74737484_-	UBE2W	-0.05	-0.045	-0.1	0.34	0
chr16_67866131_67866253_-	CENPT	0.07	0.085	0.72	0.63	0
chr16_67866131_67866257_-	CENPT	0.09	0.105	0.84	0.7	0
chr10_70227924_70228063_-	DNA2	-0.14	-0.125	-0.6	0.56	0
chr19_44341205_44341331_+	ZNF283	-0.21	-0.195	-1.04	0.83	0
chr16_68088477_68088520_+	DUS2	0.04	0.045	0.47	0.5	0
chr13_26795919_26795979_-	RNF6	-0.04	-0.035	-0.04	0.32	0
chr19_44436756_44436842_-	ZNF45	-0.09	-0.075	-0.29	0.41	0
chr12_27573329_27573466_+	ARNTL2	-0.49	-0.475	-2.8	2.59	0.7
chr6_161519310_161519459_+	MAP3K4	-0.18	-0.165	-0.85	0.7	0
chr6_161529983_161530073_+	MAP3K4	0.21	0.225	1.6	1.26	0
