id	gene	deltaPSI	deltaPSIc	z	p	q
chr3_9851904_9852078_+	TTLL3	0.04	0.055	0.15	0.36	0
chr10_99393104_99393237_-	MORN4	-0.15	-0.145	-0.76	0.65	0
chr6_32143591_32143899_-	AGPAT1	0.4	0.395	1.69	1.34	0
chr5_150584961_150585038_-	CCDC69	0.11	0.105	0.37	0.45	0
chr2_48822367_48822993_+	STON1	-0.01	-0.005	-0.12	0.34	0
chr19_12954343_12954421_+	MAST1	-0.11	-0.105	-0.57	0.55	0
chr16_30107418_30107491_-	YPEL3	-0.46	-0.445	-2.11	1.76	0.12
chr19_38202511_38202593_-	ZNF607	-0.14	-0.135	-0.71	0.62	0
chr1_162124195_162124266_+	NOS1AP	0.35	0.355	1.5	1.18	0
chr3_113784084_113784125_+	QTRTD1	0.32	0.325	1.37	1.07	0
chr3_120969570_120969610_+	STXBP5L	-0.04	-0.035	-0.26	0.4	0
chr20_32262030_32262214_-	NECAB3	-0.27	-0.265	-1.3	1.01	0
chr20_32262030_32262226_-	NECAB3	-0.27	-0.265	-1.3	1.01	0
chr17_1715356_1715409_-	SMYD4	0.29	0.295	1.23	0.96	0
chr8_12043861_12044126_-	FAM86B1	-0.18	-0.165	-0.85	0.7	0
chr17_33443963_33444056_-	RAD51D	0.14	0.155	0.6	0.56	0
chr17_49337196_49337302_-	MBTD1	-0.09	-0.075	-0.44	0.48	0
chr14_59925575_59925722_-	GPR135	0.2	0.205	0.83	0.69	0
chr4_40438458_40438664_-	RBM47	-0.35	-0.345	-1.66	1.31	0
chr20_18375319_18375502_-	DZANK1	0.2	0.205	0.83	0.69	0
chr5_177652356_177652430_-	PHYKPL	0.26	0.275	1.14	0.9	0
chr15_50483198_50483301_+	SLC27A2	0.09	0.095	0.33	0.43	0
chr12_50535836_50535893_-	CERS5	0.01	0.005	-0.08	0.33	0
chr19_21493303_21493429_-	ZNF708	0.29	0.295	1.23	0.96	0
chr17_17415828_17415968_-	PEMT	0.05	0.055	0.15	0.36	0
chr8_681140_681197_-	ERICH1	-0.28	-0.275	-1.34	1.05	0
chr17_38063214_38063240_-	GSDMB	0.37	0.385	1.64	1.3	0
chr2_216903132_216904083_-	PECR	-0.07	-0.065	-0.39	0.46	0
chrX_129158965_129159354_+	BCORL1	-0.01	0.005	-0.08	0.33	0
chr10_38146113_38146538_-	ZNF248	0.11	0.125	0.46	0.49	0
chr19_9452293_9454519_+	ZNF559	-0.18	-0.165	-0.85	0.7	0
chr7_43918390_43918859_-	URGCP	-0.03	-0.035	-0.26	0.4	0
chr11_18472510_18473605_+	LDHC	-0.1	-0.085	-0.48	0.5	0
chr6_30610545_30610788_+	ATAT1	-0.65	-0.635	-2.97	2.83	0.72
chr5_94134718_94134837_-	MCTP1	-0.14	-0.145	-0.76	0.65	0
chr15_69652305_69652470_+	PAQR5	0.16	0.165	0.65	0.59	0
chr5_94266448_94267696_-	MCTP1	0.18	0.175	0.69	0.61	0
chr9_116303600_116304369_+	RGS3	-0.11	-0.105	-0.57	0.55	0
chr12_27787843_27790252_+	PPFIBP1	0.33	0.325	1.37	1.07	0
chr15_40708354_40708381_+	IVD	0.22	0.225	0.92	0.75	0
chr16_841851_841948_+	CHTF18	-0.18	-0.175	-0.89	0.73	0
chr1_182787948_182787994_+	NPL	-0.12	-0.105	-0.57	0.55	0
chr22_22324582_22324778_-	TOP3B	-0.41	-0.395	-1.89	1.53	0.02
chr9_99614229_99614287_-	ZNF782	0.58	0.585	2.54	2.26	0.37
chr1_16919936_16920062_-	NBPF1	-0.54	-0.515	-2.43	2.12	0.32
chr2_178994124_178994383_+	RBM45	-0.02	-0.015	-0.17	0.36	0
chr15_66201372_66201473_-	MEGF11	0.04	0.035	0.06	0.32	0
chr6_167369585_167369679_-	RNASET2	0.18	0.175	0.69	0.61	0
chr10_75519380_75519552_+	SEC24C	-0.3	-0.295	-1.43	1.12	0
chr3_157206844_157206949_-	VEPH1	0.15	0.145	0.56	0.54	0
chr18_33779646_33780287_+	MOCOS	-0.17	-0.165	-0.85	0.7	0
chr16_30017615_30017830_-	DOC2A	-0.31	-0.305	-1.48	1.16	0
chr1_150974641_150975182_-	FAM63A	0.24	0.245	1.01	0.81	0
chr22_31644388_31644755_+	LIMK2	0.08	0.095	0.33	0.43	0
chr14_39736618_39736726_+	CTAGE5	0.33	0.335	1.41	1.1	0
chr4_76446946_76447792_+	THAP6	-0.21	-0.195	-0.98	0.79	0
chr2_152717225_152717334_-	CACNB4	0.14	0.135	0.51	0.52	0
chr13_95748025_95748433_-	ABCC4	0.13	0.125	0.46	0.49	0
chr8_74659622_74659932_-	STAU2	-0.17	-0.175	-0.89	0.73	0
chr6_31514255_31514359_-	ATP6V1G2-DDX39B	-0.21	-0.195	-0.98	0.79	0
chr19_9785691_9785728_-	ZNF562	-0.22	-0.215	-1.07	0.85	0
chr9_84248384_84249216_-	TLE1	0.16	0.165	0.65	0.59	0
chr16_31123442_31123854_+	BCKDK	-0.29	-0.285	-1.39	1.08	0
chr2_173488764_173488880_+	PDK1	0.1	0.105	0.37	0.45	0
chr2_190627411_190627493_-	OSGEPL1	0.05	0.055	0.15	0.36	0
chr16_15793586_15793711_+	NDE1	0.15	0.165	0.65	0.59	0
chr3_48342769_48342795_-	NME6	0.23	0.235	0.96	0.77	0
chr4_89857434_89859392_-	FAM13A	-0.02	-0.005	-0.12	0.34	0
chr17_42544465_42544482_-	GPATCH8	0.09	0.095	0.33	0.43	0
chr17_66244176_66244199_+	AMZ2	-0.19	-0.175	-0.89	0.73	0
chr15_72410021_72410422_-	MYO9A	0.31	0.315	1.32	1.03	0
chr17_80091949_80092070_-	CCDC57	0.01	0.015	-0.03	0.31	0
chr20_57427769_57430388_+	GNAS	-0.06	-0.065	-0.39	0.46	0
chr10_181424_181499_+	ZMYND11	-0.01	-0.005	-0.12	0.34	0
chr3_48481398_48481491_-	CCDC51	-0.08	-0.075	-0.44	0.48	0
chr4_27009605_27009628_+	STIM2	-0.06	-0.065	-0.39	0.46	0
chr15_40582226_40582283_-	PLCB2	-0.25	-0.245	-1.21	0.95	0
chr9_86482599_86482775_-	KIF27	-0.09	-0.085	-0.48	0.5	0
chr11_77611617_77611817_+	AAMDC	0.05	0.055	0.15	0.36	0
chr3_150910337_150910441_+	MED12L	0.29	0.305	1.28	1	0
chr12_3938076_3938196_-	PARP11	0.5	0.495	2.14	1.79	0.14
chr19_57888496_57888579_+	ZNF547	0.05	0.055	0.15	0.36	0
chr3_12329400_12329519_+	PPARG	-0.12	-0.115	-0.62	0.57	0
chr21_34635098_34636830_+	IFNAR2	-0.25	-0.235	-1.16	0.91	0
chr20_58518995_58523735_+	FAM217B	-0.57	-0.565	-2.65	2.4	0.48
chr1_23832922_23836640_-	E2F2	0.15	0.155	0.6	0.56	0
chr15_78857913_78858167_+	CHRNA5	0.13	0.135	0.51	0.52	0
chr4_83831850_83831964_+	THAP9	0.26	0.265	1.1	0.87	0
chr12_49495903_49495979_-	LMBR1L	0.25	0.255	1.05	0.83	0
chr1_92515874_92515977_+	EPHX4	-0.19	-0.175	-0.89	0.73	0
chr7_65413658_65413767_+	VKORC1L1	-0.14	-0.135	-0.71	0.62	0
chr19_52873204_52873230_+	ZNF880	-0.16	-0.145	-0.76	0.65	0
chr6_111709204_111709288_-	REV3L	0.31	0.315	1.32	1.03	0
chr4_79808328_79808438_+	BMP2K	-0.2	-0.195	-0.98	0.79	0
chr16_30017440_30017652_-	DOC2A	-0.55	-0.545	-2.56	2.28	0.39
chr3_101219914_101219963_-	SENP7	-0.44	-0.435	-2.07	1.72	0.11
chr2_203690418_203690490_-	ICA1L	0.03	0.045	0.1	0.34	0
chr11_451385_451493_+	PTDSS2	0.1	0.095	0.33	0.43	0
chr22_43466177_43466248_-	TTLL1	0.21	0.225	0.92	0.75	0
chr12_10572148_10572192_-	KLRC3	0.02	0.035	0.06	0.32	0
chr22_45127610_45127701_+	ARHGAP8	0.28	0.285	1.19	0.93	0
chr3_49348947_49349087_-	USP4	0.06	0.075	0.24	0.39	0
chr12_49498529_49498668_-	LMBR1L	0.14	0.145	0.56	0.54	0
chr2_10548688_10548860_+	HPCAL1	0.05	0.055	0.15	0.36	0
chr12_49504267_49504464_-	LMBR1L	0.11	0.115	0.42	0.47	0
chr19_7712240_7712397_+	STXBP2	-0.15	-0.155	-0.8	0.67	0
chr3_25833437_25833488_+	OXSM	0.12	0.125	0.46	0.49	0
chr1_148574737_148574987_+	NBPF15	0.13	0.155	0.6	0.56	0
chr1_155658450_155658548_-	YY1AP1	0.11	0.115	0.42	0.47	0
chr9_111679827_111679950_-	IKBKAP	-0.11	-0.105	-0.57	0.55	0
chr3_57911572_57911661_+	SLMAP	0.32	0.325	1.37	1.07	0
chr3_184971737_184971886_-	EHHADH	-0.05	-0.045	-0.3	0.42	0
chr2_54342843_54342893_+	ACYP2	-0.22	-0.225	-1.12	0.88	0
chr2_133427454_133427778_-	LYPD1	-0.02	-0.015	-0.17	0.36	0
chr19_45389194_45389257_+	PVRL2	-0.23	-0.225	-1.12	0.88	0
chr19_19612778_19612852_+	GATAD2A	-0.3	-0.295	-1.43	1.12	0
chr6_84302901_84302978_-	SNAP91	0.24	0.245	1.01	0.81	0
chr16_88726928_88727045_-	MVD	-0.03	-0.025	-0.21	0.38	0
chr7_43927389_43927415_-	URGCP	-0.01	-0.005	-0.12	0.34	0
chr5_43161933_43162033_+	ZNF131	0.41	0.415	1.78	1.43	0
chr20_30959581_30959677_+	ASXL1	0.24	0.255	1.05	0.83	0
chr22_23656155_23656260_+	BCR	-0.29	-0.285	-1.39	1.08	0
chr4_175238486_175241482_+	CEP44	0.18	0.185	0.74	0.64	0
chr10_29820931_29821101_-	SVIL	0.1	0.105	0.37	0.45	0
chr10_5944983_5945138_+	FBXO18	0.37	0.375	1.6	1.26	0
chr19_12833291_12833386_-	TNPO2	0.08	0.095	0.33	0.43	0
chr12_39711875_39712003_-	KIF21A	0.19	0.195	0.78	0.66	0
chr17_74723052_74723260_+	METTL23	0.5	0.505	2.18	1.83	0.17
chr19_52873192_52873230_+	ZNF880	-0.16	-0.145	-0.76	0.65	0
chr17_2270565_2270699_+	SGSM2	0.08	0.085	0.28	0.41	0
chr17_65940346_65940488_+	BPTF	-0.18	-0.185	-0.94	0.76	0
chr7_99700298_99700404_+	AP4M1	0.16	0.165	0.65	0.59	0
chr7_139727076_139727118_-	PARP12	0.07	0.085	0.28	0.41	0
chr1_154580468_154580682_-	ADAR	-0.1	-0.095	-0.53	0.53	0
chr9_138715796_138715880_-	CAMSAP1	-0.13	-0.115	-0.62	0.57	0
chr19_58002839_58002965_+	ZNF419	-0.28	-0.265	-1.3	1.01	0
chr2_209169570_209169737_+	PIKFYVE	0.14	0.155	0.6	0.56	0
chr22_46642570_46642692_-	CDPF1	0.06	0.065	0.19	0.37	0
chr5_89815250_89815301_-	LYSMD3	0.11	0.105	0.37	0.45	0
chr19_58740341_58740622_+	ZNF544	0.11	0.115	0.42	0.47	0
chr18_44584606_44584723_+	KATNAL2	0.17	0.165	0.65	0.59	0
chr16_19261263_19261400_+	SYT17	0.14	0.135	0.51	0.52	0
chr16_19261263_19261292_+	SYT17	0.14	0.135	0.51	0.52	0
chr7_7916912_7918854_+	RPA3-AS1	-0.17	-0.165	-0.85	0.7	0
chr17_78403841_78403952_+	ENDOV	-0.13	-0.115	-0.62	0.57	0
chrX_106965089_106965502_-	TSC22D3	0.13	0.125	0.46	0.49	0
chr15_37388490_37388631_-	MEIS2	-0.05	-0.035	-0.26	0.4	0
chr9_131094432_131094561_+	COQ4	-0.15	-0.135	-0.71	0.62	0
chr22_40573946_40574144_+	TNRC6B	0.22	0.225	0.92	0.75	0
chr17_41158757_41158985_+	IFI35	0.2	0.205	0.83	0.69	0
chr6_4995281_4995510_-	RPP40	0.02	0.025	0.01	0.3	0
chr16_4404602_4405164_-	CORO7	0.13	0.135	0.51	0.52	0
chr16_4404545_4405164_-	CORO7	0.13	0.135	0.51	0.52	0
chr1_116607057_116607129_+	SLC22A15	-0.35	-0.335	-1.61	1.27	0
chr3_118953992_118954074_-	B4GALT4	0.16	0.185	0.74	0.64	0
chr7_43927389_43927410_-	URGCP	0.01	0.015	-0.03	0.31	0
chr8_28716953_28717020_-	INTS9	-0.38	-0.365	-1.75	1.4	0
chrX_129474081_129474327_+	SLC25A14	-0.02	-0.005	-0.12	0.34	0
chr1_36385100_36386559_+	AGO1	-0.25	-0.235	-1.16	0.91	0
chr21_46548317_46548488_+	ADARB1	-0.19	-0.195	-0.98	0.79	0
chr13_20436539_20436606_-	ZMYM5	-0.16	-0.145	-0.76	0.65	0
chr7_27169737_27170418_-	HOXA4	-0.08	-0.065	-0.39	0.46	0
chr1_180941861_180945782_-	STX6	0.34	0.335	1.41	1.1	0
chr15_44184179_44184267_-	FRMD5	-0.45	-0.445	-2.11	1.76	0.12
chr10_103345619_103345913_-	POLL	0.19	0.185	0.74	0.64	0
chr7_27169737_27170352_-	HOXA4	-0.08	-0.065	-0.39	0.46	0
chr6_84566961_84567234_+	RIPPLY2	-0.05	-0.055	-0.35	0.44	0
chr10_13341968_13342101_-	PHYH	0.13	0.135	0.51	0.52	0
chr10_61022194_61022405_-	FAM13C	-0.09	-0.075	-0.44	0.48	0
chr20_33732782_33732959_-	EDEM2	0.5	0.515	2.23	1.89	0.19
chr17_43239855_43240002_+	HEXIM2	0.22	0.225	0.92	0.75	0
chr6_143999205_143999346_+	PHACTR2	-0.11	-0.105	-0.57	0.55	0
chr6_167369585_167370099_-	RNASET2	0.18	0.175	0.69	0.61	0
chr1_150974641_150974876_-	FAM63A	0.31	0.315	1.32	1.03	0
chr10_454866_454957_-	DIP2C	0.21	0.215	0.87	0.72	0
chr15_83211953_83213452_-	CPEB1	0.51	0.515	2.23	1.89	0.19
chr6_159049440_159049522_+	TMEM181	0.43	0.435	1.87	1.51	0.01
chr22_31724773_31724910_-	PATZ1	-0.03	-0.025	-0.21	0.38	0
chr18_48556583_48556993_+	SMAD4	-0.31	-0.295	-1.43	1.12	0
chr1_19609052_19609386_-	AKR7A3	0.14	0.135	0.51	0.52	0
chr15_83211951_83213452_-	CPEB1	0.51	0.515	2.23	1.89	0.19
chr12_112369174_112369631_-	TMEM116	-0.24	-0.225	-1.12	0.88	0
chr15_55562363_55562592_-	RAB27A	0.03	0.035	0.06	0.32	0
chrX_44919302_44919401_+	KDM6A	0.19	0.195	0.78	0.66	0
chr19_44556162_44556348_+	ZNF223	0.06	0.065	0.19	0.37	0
chr2_263211_263372_-	SH3YL1	0.1	0.105	0.37	0.45	0
chr14_105181621_105181677_+	INF2	-0.27	-0.265	-1.3	1.01	0
chr10_71903598_71903728_-	TYSND1	0.02	0.025	0.01	0.3	0
chr13_97999295_97999321_+	MBNL2	-0.13	-0.115	-0.62	0.57	0
chr16_15793586_15794348_+	NDE1	0.15	0.165	0.65	0.59	0
chr9_99098999_99099066_-	SLC35D2	0.33	0.325	1.37	1.07	0
chr16_29937111_29937156_-	KCTD13	-0.35	-0.335	-1.61	1.27	0
chr20_44054214_44054884_+	PIGT	-0.22	-0.215	-1.07	0.85	0
chr6_56393639_56393723_-	DST	-0.19	-0.195	-0.98	0.79	0
chr12_109697870_109697954_+	ACACB	-0.12	-0.115	-0.62	0.57	0
chr1_147599424_147599571_-	NBPF24	0.15	0.155	0.6	0.56	0
chr9_108301544_108301632_+	FSD1L	0.46	0.465	2	1.64	0.06
chr6_56954828_56955072_+	ZNF451	-0.07	-0.065	-0.39	0.46	0
chr12_104171778_104171859_-	NT5DC3	-0.25	-0.245	-1.21	0.95	0
chr19_58130780_58130996_+	ZNF134	0.25	0.255	1.05	0.83	0
chr6_84302665_84302736_-	SNAP91	0.05	0.055	0.15	0.36	0
chr1_48821342_48821441_-	SPATA6	-0.13	-0.115	-0.62	0.57	0
chr9_131112591_131112660_+	SLC27A4	-0.18	-0.165	-0.85	0.7	0
chr7_27168588_27169190_-	HOXA4	-0.08	-0.065	-0.39	0.46	0
chr1_36358158_36358278_+	AGO1	-0.22	-0.205	-1.03	0.82	0
chr12_110016970_110017087_+	MVK	0.06	0.075	0.24	0.39	0
chr12_56872836_56872931_-	GLS2	-0.28	-0.265	-1.3	1.01	0
chr2_191380996_191381110_-	TMEM194B	0.17	0.185	0.74	0.64	0
chr16_57171061_57171194_+	CPNE2	-0.13	-0.115	-0.62	0.57	0
chr14_95608020_95608085_-	DICER1	0.04	0.035	0.06	0.32	0
chrX_24179832_24179959_+	ZFX	0.07	0.075	0.24	0.39	0
chr19_57987028_57987154_-	ZNF772	0.03	0.035	0.06	0.32	0
chr21_47924274_47924402_+	DIP2A	0.24	0.235	0.96	0.77	0
chr17_34951404_34951610_+	DHRS11	0.2	0.195	0.78	0.66	0
chr4_52928386_52928498_+	SPATA18	0.24	0.255	1.05	0.83	0
chr1_51796109_51796234_-	TTC39A	-0.17	-0.165	-0.85	0.7	0
chr16_68156933_68157024_+	NFATC3	-0.26	-0.245	-1.21	0.95	0
chr11_8985756_8985988_-	TMEM9B	0.15	0.155	0.6	0.56	0
chr1_155720123_155720524_-	GON4L	-0.18	-0.175	-0.89	0.73	0
chr13_34540224_34540695_+	RFC3	0.04	0.045	0.1	0.34	0
chr22_45958792_45959242_+	FBLN1	0.25	0.255	1.05	0.83	0
chr2_191878251_191878681_-	STAT1	0.25	0.255	1.05	0.83	0
chr2_191878251_191878313_-	STAT1	0.25	0.255	1.05	0.83	0
chr19_44989247_44989368_-	ZNF180	0.12	0.135	0.51	0.52	0
chr9_114301726_114302041_+	ZNF483	-0.14	-0.125	-0.67	0.6	0
chr15_89631381_89631794_+	ABHD2	-0.18	-0.175	-0.89	0.73	0
chr17_46990196_46990327_+	UBE2Z	-0.66	-0.635	-2.97	2.83	0.72
chr15_41523341_41523647_+	CHP1	-0.11	-0.095	-0.53	0.53	0
chr17_40871123_40871225_-	EZH1	0.12	0.115	0.42	0.47	0
chr2_232104656_232104870_+	ARMC9	0.29	0.275	1.14	0.9	0
chr19_7702005_7702072_+	STXBP2	-0.57	-0.565	-2.65	2.4	0.48
chr22_45132652_45133542_+	PRR5	0.29	0.285	1.19	0.93	0
chr2_207474634_207474724_+	ADAM23	0.09	0.085	0.28	0.41	0
chr17_15902820_15902953_-	ZSWIM7	0.57	0.575	2.5	2.21	0.35
chr18_34664088_34664195_+	KIAA1328	0.12	0.125	0.46	0.49	0
chr11_18472510_18472674_+	LDHC	-0.1	-0.085	-0.48	0.5	0
chr17_15902820_15902948_-	ZSWIM7	0.57	0.575	2.5	2.21	0.35
chr11_77595826_77595962_+	AAMDC	0.05	0.055	0.15	0.36	0
chr9_108337282_108337418_+	FKTN	0.4	0.405	1.73	1.38	0
chr10_30726105_30726335_+	MAP3K8	0.32	0.325	1.37	1.07	0
chrX_129474026_129474327_+	SLC25A14	-0.02	-0.005	-0.12	0.34	0
chr6_84302665_84302701_-	SNAP91	0.19	0.195	0.78	0.66	0
chr14_59010601_59010685_+	KIAA0586	0.24	0.245	1.01	0.81	0
chr12_7014005_7014067_+	LRRC23	0.29	0.305	1.28	1	0
chr2_65561249_65561399_-	SPRED2	-0.03	-0.015	-0.17	0.36	0
chr8_103250787_103251003_-	RRM2B	-0.12	-0.115	-0.62	0.57	0
chr14_93730131_93730339_-	BTBD7	-0.01	-0.005	-0.12	0.34	0
chr1_100487942_100489006_+	SLC35A3	-0.18	-0.175	-0.89	0.73	0
chr2_203686081_203686204_-	ICA1L	-0.07	-0.055	-0.35	0.44	0
chrX_2418352_2418596_-	ZBED1	0.05	0.065	0.19	0.37	0
chr8_22355512_22355625_+	PPP3CC	-0.11	-0.095	-0.53	0.53	0
chr12_49495255_49495332_-	LMBR1L	0.19	0.195	0.78	0.66	0
chr1_51796109_51796232_-	TTC39A	-0.17	-0.165	-0.85	0.7	0
chr7_104678573_104678646_+	KMT2E	0.03	0.045	0.1	0.34	0
chr1_155719510_155720524_-	GON4L	-0.18	-0.175	-0.89	0.73	0
chr20_25000646_25000783_-	ACSS1	-0.06	-0.055	-0.35	0.44	0
chr19_37342732_37342806_+	ZNF345	0.57	0.565	2.45	2.15	0.34
chr11_102056812_102056862_+	YAP1	-0.03	-0.025	-0.21	0.38	0
chr15_83213023_83213452_-	CPEB1	0.51	0.515	2.23	1.89	0.19
chr19_38209916_38210089_-	ZNF607	0.11	0.115	0.42	0.47	0
chr15_83212573_83213452_-	CPEB1	0.51	0.515	2.23	1.89	0.19
chr19_57987748_57988040_-	ZNF772	-0.09	-0.085	-0.48	0.5	0
chr6_30308282_30308315_+	TRIM39	0.19	0.195	0.78	0.66	0
chr5_88057086_88057145_-	MEF2C	-0.19	-0.175	-0.89	0.73	0
chr4_170497755_170498230_-	NEK1	-0.3	-0.285	-1.39	1.08	0
chr15_30381903_30382159_+	GOLGA8J	-0.19	-0.185	-0.94	0.76	0
chr2_27262609_27262705_+	TMEM214	-0.3	-0.285	-1.39	1.08	0
chr11_74554899_74555004_-	XRRA1	0.18	0.185	0.74	0.64	0
chr9_108358879_108358938_+	FKTN	0.35	0.365	1.55	1.22	0
chr11_89909140_89909230_+	NAALAD2	0.18	0.195	0.78	0.66	0
chr8_72127730_72127743_-	EYA1	-0.14	-0.125	-0.67	0.6	0
chr1_2342069_2342307_-	PEX10	-0.19	-0.175	-0.89	0.73	0
chr8_72156838_72156927_-	EYA1	-0.19	-0.185	-0.94	0.76	0
chr3_195984659_195984677_-	PCYT1A	-0.22	-0.205	-1.03	0.82	0
chr1_85155837_85155987_-	SSX2IP	0.3	0.305	1.28	1	0
chr16_47497793_47497904_+	PHKB	0.22	0.215	0.87	0.72	0
chr16_4404965_4405164_-	CORO7	0.13	0.135	0.51	0.52	0
chr3_48481398_48481475_-	CCDC51	-0.08	-0.075	-0.44	0.48	0
chr16_68573661_68573728_+	ZFP90	0.07	0.075	0.24	0.39	0
chr16_68573606_68573728_+	ZFP90	-0.02	-0.015	-0.17	0.36	0
chr6_111136212_111136519_-	CDK19	-0.2	-0.185	-0.94	0.76	0
chr1_21948832_21948906_-	RAP1GAP	-0.14	-0.135	-0.71	0.62	0
chr1_148577072_148577251_+	NBPF15	0.13	0.155	0.6	0.56	0
chr1_46179918_46180138_-	IPP	-0.16	-0.145	-0.76	0.65	0
chr8_57080587_57080945_-	PLAG1	-0.26	-0.265	-1.3	1.01	0
chr1_16269894_16270014_-	ZBTB17	-0.15	-0.145	-0.76	0.65	0
chr4_175238486_175241481_+	CEP44	0.18	0.185	0.74	0.64	0
chrX_119386524_119386625_+	ZBTB33	0.08	0.095	0.33	0.43	0
chr12_133768075_133768092_+	ZNF268	0.09	0.095	0.33	0.43	0
chr19_18988726_18988907_-	CERS1	-0.29	-0.285	-1.39	1.08	0
chr16_19046998_19047145_+	TMC7	-0.28	-0.265	-1.3	1.01	0
chr4_153273622_153274123_-	FBXW7	0.08	0.085	0.28	0.41	0
chr19_21205595_21205687_+	ZNF430	0.3	0.295	1.23	0.96	0
chr14_95608020_95608055_-	DICER1	0.05	0.045	0.1	0.34	0
chr16_30066105_30066248_+	ALDOA	0.14	0.155	0.6	0.56	0
chr4_148601474_148601622_-	PRMT10	-0.09	-0.065	-0.39	0.46	0
chr17_60556511_60556651_+	TLK2	0.17	0.185	0.74	0.64	0
chr9_78749025_78749128_+	PCSK5	0.23	0.235	0.96	0.77	0
chr1_203765421_203765729_+	ZC3H11A	0.16	0.175	0.69	0.61	0
chr11_124861357_124861479_+	CCDC15	-0.19	-0.175	-0.89	0.73	0
chr3_187444519_187444686_-	BCL6	0.16	0.155	0.6	0.56	0
chr14_69928414_69929098_+	SLC39A9	-0.25	-0.245	-1.21	0.95	0
chr22_45958792_45959232_+	FBLN1	0.25	0.255	1.05	0.83	0
chr8_95750597_95750687_+	DPY19L4	-0.17	-0.165	-0.85	0.7	0
chr20_18374355_18374406_-	DZANK1	-0.13	-0.115	-0.62	0.57	0
chr22_31924676_31924849_+	SFI1	0.24	0.255	1.05	0.83	0
chr15_37391102_37391507_-	MEIS2	-0.12	-0.115	-0.62	0.57	0
chr16_68573698_68573728_+	ZFP90	-0.02	-0.015	-0.17	0.36	0
chr4_5889955_5890208_-	CRMP1	0.26	0.275	1.14	0.9	0
chr19_38209916_38210026_-	ZNF607	0.11	0.115	0.42	0.47	0
chrX_16688703_16688756_-	CTPS2	-0.1	-0.095	-0.53	0.53	0
chr22_24493977_24494068_+	CABIN1	-0.24	-0.235	-1.16	0.91	0
chr6_56872979_56875742_+	BEND6	0.12	0.135	0.51	0.52	0
chr16_29934511_29934641_-	KCTD13	-0.51	-0.495	-2.34	2.02	0.26
chr1_147599424_147599549_-	NBPF24	0.17	0.165	0.65	0.59	0
chr2_216903914_216904083_-	PECR	-0.07	-0.065	-0.39	0.46	0
chr7_73151551_73151690_-	ABHD11	0.12	0.105	0.37	0.45	0
chr7_75511362_75511554_+	RHBDD2	-0.16	-0.145	-0.76	0.65	0
chr15_55651737_55651880_-	CCPG1	-0.58	-0.575	-2.7	2.46	0.48
chr6_84300930_84301013_-	SNAP91	0.19	0.195	0.78	0.66	0
chr19_48735710_48736046_-	CARD8	-0.02	-0.015	-0.17	0.36	0
chr6_31633351_31633627_-	GPANK1	0.33	0.335	1.41	1.1	0
chr21_33825620_33825816_+	EVA1C	0.03	0.035	0.06	0.32	0
chr16_30017193_30017652_-	DOC2A	-0.55	-0.545	-2.56	2.28	0.39
chr17_35685584_35685925_-	ACACA	-0.14	-0.125	-0.67	0.6	0
chr15_66202078_66202144_-	MEGF11	0.14	0.135	0.51	0.52	0
chr10_103344635_103344676_-	POLL	0.2	0.205	0.83	0.69	0
chr12_56871742_56871880_-	GLS2	0.07	0.075	0.24	0.39	0
chr17_29253827_29253936_+	ADAP2	-0.12	-0.125	-0.67	0.6	0
chr11_47310519_47310578_+	MADD	0.07	0.085	0.28	0.41	0
chr4_77916934_77917091_+	SEPT11	0.2	0.205	0.83	0.69	0
chr14_50110303_50110388_-	POLE2	0.2	0.205	0.83	0.69	0
chr3_9798155_9798305_+	OGG1	-0.17	-0.155	-0.8	0.67	0
chr6_4995312_4995510_-	RPP40	0.02	0.025	0.01	0.3	0
chr7_8267268_8267481_-	ICA1	0.16	0.165	0.65	0.59	0
chr19_49141497_49141550_-	CA11	-0.01	0.005	-0.08	0.33	0
chr12_49504267_49504633_-	LMBR1L	0.11	0.115	0.42	0.47	0
chr4_59323_59449_+	ZNF595	0.14	0.145	0.56	0.54	0
chr17_40870472_40870635_-	EZH1	0.15	0.145	0.56	0.54	0
chr11_1000432_1000598_+	AP2A2	-0.03	-0.015	-0.17	0.36	0
chr22_31644473_31644755_+	LIMK2	0.08	0.095	0.33	0.43	0
chr10_46048560_46048652_-	MARCH8	0.04	0.045	0.1	0.34	0
chr9_3301546_3301620_-	RFX3	-0.04	-0.025	-0.21	0.38	0
chr18_44579251_44579417_+	KATNAL2	0.15	0.145	0.56	0.54	0
chr19_44601959_44602041_+	ZNF224	0.07	0.075	0.24	0.39	0
chr6_56955009_56955072_+	ZNF451	-0.07	-0.065	-0.39	0.46	0
chrX_153736142_153736213_-	FAM3A	-0.32	-0.315	-1.52	1.19	0
chr12_39727014_39727082_-	KIF21A	-0.12	-0.115	-0.62	0.57	0
chr18_56367673_56367823_+	MALT1	0.21	0.215	0.87	0.72	0
chr5_131066597_131066731_-	FNIP1	0.36	0.375	1.6	1.26	0
chr19_37663529_37663628_-	ZNF585A	-0.2	-0.195	-0.98	0.79	0
chr19_58002836_58002965_+	ZNF419	-0.33	-0.315	-1.52	1.19	0
chr2_207426927_207427017_+	ADAM23	-0.16	-0.145	-0.76	0.65	0
chr6_170657239_170657411_+	FAM120B	0.01	0.025	0.01	0.3	0
